,open,high,low,close,volume,OpenInterest
1970-01-01 00:25:00,64724.4,64938.0,64358.6,64389.2,424.798,
2024-03-19 14:05:00,,,,,,55716.456
2024-03-19 14:10:00,,,,,,55389.773
2024-03-19 14:15:00,,,,,,55524.334
2024-03-19 14:20:00,,,,,,55372.915
2024-03-19 14:25:00,,,,,,55490.75
2024-03-19 14:30:00,,,,,,55698.542
2024-03-19 14:35:00,,,,,,55629.114
2024-03-19 14:40:00,,,,,,55749.679
2024-03-19 14:45:00,,,,,,56102.615
2024-03-19 14:50:00,,,,,,55870.523
2024-03-19 14:55:00,,,,,,55881.297
2024-03-19 15:00:00,,,,,,55902.237
2024-03-19 15:05:00,,,,,,56023.974
2024-03-19 15:10:00,,,,,,56073.677
2024-03-19 15:15:00,,,,,,55929.813
2024-03-19 15:20:00,,,,,,55846.4
2024-03-19 15:25:00,,,,,,55905.17
2024-03-19 15:30:00,,,,,,55650.753
2024-03-19 15:35:00,,,,,,55607.312
2024-03-19 15:40:00,,,,,,55811.687
2024-03-19 15:45:00,,,,,,55767.412
2024-03-19 15:50:00,,,,,,55733.176
2024-03-19 15:55:00,,,,,,55726.247
2024-03-19 16:00:00,,,,,,55815.419
2024-03-19 16:05:00,,,,,,55930.97
2024-03-19 16:10:00,,,,,,56050.098
2024-03-19 16:15:00,,,,,,55625.622
2024-03-19 16:20:00,,,,,,55583.672
2024-03-19 16:25:00,,,,,,55633.098
2024-03-19 16:30:00,,,,,,55640.34
2024-03-19 16:35:00,,,,,,55656.997
2024-03-19 16:40:00,,,,,,55602.054
2024-03-19 16:45:00,,,,,,55542.783
2024-03-19 16:50:00,,,,,,55500.738
2024-03-19 16:55:00,,,,,,55253.95
2024-03-19 17:00:00,,,,,,55241.988
2024-03-19 17:05:00,,,,,,55243.426
2024-03-19 17:10:00,,,,,,55237.567
2024-03-19 17:15:00,,,,,,55277.12
2024-03-19 17:20:00,,,,,,55266.782
2024-03-19 17:25:00,,,,,,55005.784
2024-03-19 17:30:00,,,,,,54758.712
2024-03-19 17:35:00,,,,,,54747.399
2024-03-19 17:40:00,,,,,,54476.421
2024-03-19 17:45:00,,,,,,54384.598
2024-03-19 17:50:00,,,,,,54427.703
2024-03-19 17:55:00,,,,,,54261.77
2024-03-19 18:00:00,,,,,,54216.983
2024-03-19 18:05:00,,,,,,54327.331
2024-03-19 18:10:00,,,,,,54215.817
